Id,ActivityHour,Time,Intensity,Steps,Calories,,,,Available features,
1503960366,3/16/2016,11:00:00,36,874,105,,,,,
1503960366,3/16/2016,00:00:00,34,1451,124,,,,,
1503960366,3/16/2016,13:00:00,16,329,79,,,,,
1503960366,3/16/2016,14:00:00,3,61,61,,,,,
1503960366,3/16/2016,15:00:00,19,456,86,,,,,
1503960366,3/16/2016,16:00:00,28,775,103,,,,,
1503960366,3/16/2016,17:00:00,43,1446,122,,,,,
1503960366,3/16/2016,18:00:00,74,2407,166,,,,,
1503960366,3/16/2016,19:00:00,7,103,59,,,,,
1503960366,3/16/2016,20:00:00,16,447,72,,,,,
1503960366,3/16/2016,21:00:00,49,2120,146,,,,,
1503960366,3/16/2016,22:00:00,18,273,78,,,,,
1503960366,3/16/2016,23:00:00,18,455,82,,,,,
1503960366,3/17/2016,12:00:00,11,263,70,,,,,
1503960366,3/17/2016,01:00:00,1,23,50,,,,,
1503960366,3/17/2016,02:00:00,1,7,49,,,,,
1503960366,3/17/2016,03:00:00,0,0,48,,,,,
1503960366,3/17/2016,04:00:00,0,0,48,,,,,
1503960366,3/17/2016,05:00:00,0,0,48,,,,,
1503960366,3/17/2016,06:00:00,0,0,49,,,,,
1503960366,3/17/2016,07:00:00,1,6,50,,,,,
1503960366,3/17/2016,08:00:00,11,210,67,,,,,
1503960366,3/17/2016,09:00:00,27,1530,125,,,,,
1503960366,3/17/2016,10:00:00,11,124,69,,,,,
1503960366,3/17/2016,11:00:00,54,1803,148,,,,,
1503960366,3/17/2016,00:00:00,11,113,70,,,,,
1503960366,3/17/2016,13:00:00,23,1124,113,,,,,
1503960366,3/17/2016,14:00:00,25,1160,119,,,,,
1503960366,3/17/2016,15:00:00,20,409,86,,,,,
1503960366,3/17/2016,16:00:00,24,631,94,,,,,
1503960366,3/17/2016,17:00:00,5,203,66,,,,,
1503960366,3/17/2016,18:00:00,15,396,76,,,,,
1503960366,3/17/2016,19:00:00,64,2165,158,,,,,
1503960366,3/17/2016,20:00:00,16,147,75,,,,,
1503960366,3/17/2016,21:00:00,49,2016,146,,,,,
1503960366,3/17/2016,22:00:00,31,521,97,,,,,
1503960366,3/17/2016,23:00:00,35,1176,118,,,,,
1503960366,3/18/2016,12:00:00,13,389,76,,,,,
1503960366,3/18/2016,01:00:00,6,112,58,,,,,
1503960366,3/18/2016,02:00:00,0,0,48,,,,,
1503960366,3/18/2016,03:00:00,0,0,48,,,,,
1503960366,3/18/2016,04:00:00,0,0,48,,,,,
1503960366,3/18/2016,05:00:00,1,4,49,,,,,
1503960366,3/18/2016,06:00:00,2,19,51,,,,,
1503960366,3/18/2016,07:00:00,0,0,49,,,,,
1503960366,3/18/2016,08:00:00,11,172,67,,,,,
1503960366,3/18/2016,09:00:00,36,1952,147,,,,,
1503960366,3/18/2016,10:00:00,12,279,73,,,,,
1503960366,3/18/2016,11:00:00,12,207,72,,,,,
1503960366,3/18/2016,00:00:00,4,145,64,,,,,
1503960366,3/18/2016,13:00:00,7,242,68,,,,,
1503960366,3/18/2016,14:00:00,86,3160,207,,,,,
1503960366,3/18/2016,15:00:00,33,852,101,,,,,
1503960366,3/18/2016,16:00:00,14,270,76,,,,,
1503960366,3/18/2016,17:00:00,2,24,59,,,,,
1503960366,3/18/2016,18:00:00,16,444,82,,,,,
1503960366,3/18/2016,19:00:00,110,4093,238,,,,,
1503960366,3/18/2016,20:00:00,21,1445,121,,,,,
1503960366,3/18/2016,21:00:00,14,332,72,,,,,
1503960366,3/18/2016,22:00:00,2,13,54,,,,,
1503960366,3/18/2016,23:00:00,12,390,74,,,,,
1503960366,3/19/2016,12:00:00,5,138,57,,,,,
1503960366,3/19/2016,01:00:00,0,0,48,,,,,
1503960366,3/19/2016,02:00:00,0,0,48,,,,,
1503960366,3/19/2016,03:00:00,1,10,49,,,,,
1503960366,3/19/2016,04:00:00,0,0,48,,,,,
1503960366,3/19/2016,05:00:00,0,0,48,,,,,
1503960366,3/19/2016,06:00:00,0,0,49,,,,,
1503960366,3/19/2016,07:00:00,2,53,52,,,,,
1503960366,3/19/2016,08:00:00,28,538,92,,,,,
1503960366,3/19/2016,09:00:00,69,3454,216,,,,,
1503960366,3/19/2016,10:00:00,54,2106,148,,,,,
1503960366,3/19/2016,11:00:00,37,1307,130,,,,,
1503960366,3/19/2016,00:00:00,27,909,109,,,,,
1503960366,3/19/2016,13:00:00,13,303,74,,,,,
1503960366,3/19/2016,14:00:00,14,150,71,,,,,
1503960366,3/19/2016,15:00:00,6,123,61,,,,,
1503960366,3/19/2016,16:00:00,8,127,63,,,,,
1503960366,3/19/2016,17:00:00,10,198,69,,,,,
1503960366,3/19/2016,18:00:00,3,50,58,,,,,
1503960366,3/19/2016,19:00:00,26,533,92,,,,,
1503960366,3/19/2016,20:00:00,22,433,86,,,,,
1503960366,3/19/2016,21:00:00,6,75,58,,,,,
1503960366,3/19/2016,22:00:00,31,850,97,,,,,
1503960366,3/19/2016,23:00:00,111,4067,234,,,,,
1503960366,3/20/2016,12:00:00,7,115,64,,,,,
1503960366,3/20/2016,01:00:00,0,0,49,,,,,
1503960366,3/20/2016,02:00:00,0,0,48,,,,,
1503960366,3/20/2016,03:00:00,0,0,48,,,,,
1503960366,3/20/2016,04:00:00,0,0,48,,,,,
1503960366,3/20/2016,05:00:00,0,0,48,,,,,
1503960366,3/20/2016,06:00:00,0,0,48,,,,,
1503960366,3/20/2016,07:00:00,0,0,48,,,,,
1503960366,3/20/2016,08:00:00,0,0,48,,,,,
1503960366,3/20/2016,09:00:00,36,1109,119,,,,,
1503960366,3/20/2016,10:00:00,113,5000,294,,,,,
1503960366,3/20/2016,11:00:00,42,1117,121,,,,,
1503960366,3/20/2016,00:00:00,20,312,82,,,,,
1503960366,3/20/2016,13:00:00,18,343,80,,,,,
1503960366,3/20/2016,14:00:00,29,578,96,,,,,
1503960366,3/20/2016,15:00:00,29,876,109,,,,,
1503960366,3/20/2016,16:00:00,22,1373,116,,,,,
1503960366,3/20/2016,17:00:00,25,1841,142,,,,,
1503960366,3/20/2016,18:00:00,36,638,104,,,,,
1503960366,3/20/2016,19:00:00,40,718,109,,,,,
1503960366,3/20/2016,20:00:00,14,421,76,,,,,
1503960366,3/20/2016,21:00:00,4,78,55,,,,,
1503960366,3/20/2016,22:00:00,3,57,57,,,,,
1503960366,3/20/2016,23:00:00,23,552,87,,,,,
1503960366,3/21/2016,12:00:00,5,97,58,,,,,
1503960366,3/21/2016,01:00:00,0,0,48,,,,,
1503960366,3/21/2016,02:00:00,0,0,48,,,,,
1503960366,3/21/2016,03:00:00,2,11,50,,,,,
1503960366,3/21/2016,04:00:00,0,0,48,,,,,
1503960366,3/21/2016,05:00:00,0,0,48,,,,,
1503960366,3/21/2016,06:00:00,0,0,48,,,,,
1503960366,3/21/2016,07:00:00,6,55,56,,,,,
1503960366,3/21/2016,08:00:00,27,1114,116,,,,,
1503960366,3/21/2016,09:00:00,17,1113,104,,,,,
1503960366,3/21/2016,10:00:00,17,308,79,,,,,
1503960366,3/21/2016,11:00:00,17,467,82,,,,,
1503960366,3/21/2016,00:00:00,51,1884,142,,,,,
1503960366,3/21/2016,13:00:00,9,184,67,,,,,
1503960366,3/21/2016,14:00:00,19,298,79,,,,,
1503960366,3/21/2016,15:00:00,16,497,83,,,,,
1503960366,3/21/2016,16:00:00,20,355,83,,,,,
1503960366,3/21/2016,17:00:00,31,588,99,,,,,
1503960366,3/21/2016,18:00:00,28,1564,132,,,,,
